GDS version: 2.0
Executing the command: Rscript -e ip <- as.data.frame(installed.packages()[,c(1,3:4)]); print(ip)
                            Package     Version    Priority
spatstat.utils       spatstat.utils      1.13-0        <NA>
spData                       spData       0.3.0        <NA>
spdep                         spdep       1.0-2        <NA>
splancs                     splancs     2.01-40        <NA>
stringi                     stringi       1.3.1        <NA>
stringr                     stringr       1.4.0        <NA>
svglite                     svglite       1.2.1        <NA>
sys                             sys         2.1        <NA>
tensor                       tensor         1.5        <NA>
tibble                       tibble       2.0.1        <NA>
tidyr                         tidyr       0.8.2        <NA>
tidyselect               tidyselect       0.2.5        <NA>
tidyverse                 tidyverse       1.2.1        <NA>
tiff                           tiff       0.1-5        <NA>
tinytex                     tinytex        0.10        <NA>
tmap                           tmap         2.2        <NA>
tmaptools                 tmaptools       2.0-1        <NA>
tufte                         tufte         0.4        <NA>
units                         units       0.6-2        <NA>
usethis                     usethis       1.4.0        <NA>
utf8                           utf8       1.1.4        <NA>
uuid                           uuid       0.1-2        <NA>
viridis                     viridis       0.5.1        <NA>
viridisLite             viridisLite       0.3.0        <NA>
webshot                     webshot       0.5.1        <NA>
whisker                     whisker       0.3-2        <NA>
withr                         withr       2.1.2        <NA>
xfun                           xfun         0.5        <NA>
XML                             XML   3.98-1.17        <NA>
xml2                           xml2       1.2.0        <NA>
xopen                         xopen       1.0.0        <NA>
xtable                       xtable       1.8-3        <NA>
xts                             xts      0.11-2        <NA>
yaml                           yaml       2.2.0        <NA>
zoo                             zoo       1.8-4        <NA>
base                           base       3.5.2        base
boot                           boot      1.3-20 recommended
class                         class      7.3-15 recommended
cluster                     cluster     2.0.7-1 recommended
codetools                 codetools      0.2-16 recommended
compiler                   compiler       3.5.2        base
datasets                   datasets       3.5.2        base
foreign                     foreign      0.8-70 recommended
graphics                   graphics       3.5.2        base
grDevices                 grDevices       3.5.2        base
grid                           grid       3.5.2        base
KernSmooth               KernSmooth     2.23-15 recommended
lattice                     lattice     0.20-38 recommended
MASS                           MASS    7.3-51.1 recommended
Matrix                       Matrix      1.2-15 recommended
methods                     methods       3.5.2        base
mgcv                           mgcv      1.8-27 recommended
nlme.1                         nlme     3.1-137 recommended
nnet                           nnet      7.3-12 recommended
parallel                   parallel       3.5.2        base
rpart                         rpart      4.1-13 recommended
spatial                     spatial      7.3-11 recommended
splines                     splines       3.5.2        base
stats                         stats       3.5.2        base
stats4                       stats4       3.5.2        base
survival                   survival      2.43-3 recommended
tcltk                         tcltk       3.5.2        base
tools                         tools       3.5.2        base
utils                         utils       3.5.2        base
