GDS image: darribas/gds:11.0gc
                            Package     Version    Priority
dygraphs                   dygraphs     1.1.1.6        <NA>
e1071                         e1071      1.7-16        <NA>
effectsize               effectsize       0.8.9        <NA>
ellipse                     ellipse       0.5.0        <NA>
ellipsis                   ellipsis       0.3.2        <NA>
emmeans                     emmeans      1.10.4        <NA>
estimability           estimability         1.5        <NA>
evaluate                   evaluate       1.0.0        <NA>
factoextra               factoextra       1.0.7        <NA>
FactoMineR               FactoMineR        2.11        <NA>
fansi                         fansi       1.0.6        <NA>
farver                       farver       2.1.2        <NA>
fastmap                     fastmap       1.2.0        <NA>
fastmatch                 fastmatch       1.1-4        <NA>
feather                     feather       0.3.5        <NA>
flashClust               flashClust      1.01-2        <NA>
FNN                             FNN     1.1.4.1        <NA>
fontawesome             fontawesome       0.5.2        <NA>
forcats                     forcats       1.0.0        <NA>
foreach                     foreach       1.5.2        <NA>
foreign                     foreign      0.8-87 recommended
Formula                     Formula       1.2-5        <NA>
fs                               fs       1.6.4        <NA>
fst                             fst       0.9.8        <NA>
fstcore                     fstcore      0.9.18        <NA>
furrr                         furrr       0.3.1        <NA>
future                       future      1.34.0        <NA>
future.apply           future.apply      1.11.2        <NA>
gamm4                         gamm4       0.2-6        <NA>
gargle                       gargle       1.5.2        <NA>
generics                   generics       0.1.3        <NA>
geojson                     geojson       0.3.5        <NA>
geojsonio                 geojsonio      0.11.3        <NA>
geojsonsf                 geojsonsf       2.0.3        <NA>
geometries               geometries       0.2.4        <NA>
geoR                           geoR       1.9-4        <NA>
geosphere                 geosphere      1.5-18        <NA>
gert                           gert       2.1.2        <NA>
ggcorrplot               ggcorrplot     0.1.4.1        <NA>
ggeffects                 ggeffects       1.7.1        <NA>
ggformula                 ggformula      0.12.0        <NA>
ggfun                         ggfun       0.1.6        <NA>
gghighlight             gghighlight       0.4.1        <NA>
ggimage                     ggimage       0.3.3        <NA>
ggmap                         ggmap       4.0.0        <NA>
ggplot2                     ggplot2       3.5.1        <NA>
ggplotify                 ggplotify       0.1.2        <NA>
ggpmisc                     ggpmisc       0.6.0        <NA>
ggpp                           ggpp     0.5.8-1        <NA>
ggpubr                       ggpubr       0.6.0        <NA>
ggrepel                     ggrepel       0.9.6        <NA>
ggridges                   ggridges       0.5.6        <NA>
ggsci                         ggsci       3.2.0        <NA>
ggsignif                   ggsignif       0.6.4        <NA>
ggthemes                   ggthemes       5.1.0        <NA>
gh                               gh       1.4.1        <NA>
gitcreds                   gitcreds       0.1.2        <NA>
glmmTMB                     glmmTMB       1.1.9        <NA>
glmnet                       glmnet       4.1-8        <NA>
globals                     globals      0.16.3        <NA>
glue                           glue       1.7.0        <NA>
goftest                     goftest       1.2-3        <NA>
googledrive             googledrive       2.1.1        <NA>
googlePolylines     googlePolylines       0.8.4        <NA>
googlesheets4         googlesheets4       1.1.1        <NA>
gower                         gower       1.0.1        <NA>
graphics                   graphics       4.3.3        base
grDevices                 grDevices       4.3.3        base
grid                           grid       4.3.3        base
gridExtra                 gridExtra         2.3        <NA>
gridGraphics           gridGraphics       0.5-1        <NA>
gstat                         gstat       2.1-2        <NA>
gtable                       gtable       0.3.5        <NA>
gtools                       gtools       3.9.5        <NA>
hardhat                     hardhat       1.4.0        <NA>
haven                         haven       2.5.4        <NA>
hdf5r                         hdf5r      1.3.11        <NA>
here                           here       1.0.1        <NA>
hexbin                       hexbin      1.28.4        <NA>
highr                         highr        0.11        <NA>
Hmisc                         Hmisc       5.1-3        <NA>
hms                             hms       1.1.3        <NA>
htmlTable                 htmlTable       2.4.3        <NA>
htmltools                 htmltools     0.5.8.1        <NA>
htmlwidgets             htmlwidgets       1.6.4        <NA>
httpcode                   httpcode       0.3.0        <NA>
httpuv                       httpuv      1.6.15        <NA>
httr                           httr       1.4.7        <NA>
httr2                         httr2       1.0.4        <NA>
hunspell                   hunspell       3.0.4        <NA>
ids                             ids       1.0.1        <NA>
igraph                       igraph       2.0.3        <NA>
ini                             ini       0.3.1        <NA>
inline                       inline      0.3.19        <NA>
insight                     insight      0.20.4        <NA>
interp                       interp       1.1-6        <NA>
intervals                 intervals      0.15.5        <NA>
ipred                         ipred      0.9-15        <NA>
IRdisplay                 IRdisplay         1.1        <NA>
IRkernel                   IRkernel       1.3.2        <NA>
isoband                     isoband       0.2.7        <NA>
ISOcodes                   ISOcodes  2024.02.12        <NA>
iterators                 iterators      1.0.14        <NA>
janeaustenr             janeaustenr       1.0.0        <NA>
jpeg                           jpeg      0.1-10        <NA>
jqr                             jqr       1.3.4        <NA>
jquerylib                 jquerylib       0.1.4        <NA>
jsonify                     jsonify       1.2.2        <NA>
jsonlite                   jsonlite       1.8.9        <NA>
jtools                       jtools       2.3.0        <NA>
kableExtra               kableExtra       1.4.0        <NA>
KernSmooth               KernSmooth     2.23-24 recommended
knitr                         knitr        1.48        <NA>
labeling                   labeling       0.4.3        <NA>
labelled                   labelled      2.13.0        <NA>
later                         later       1.3.2        <NA>
lattice                     lattice      0.22-6 recommended
latticeExtra           latticeExtra      0.6-30        <NA>
lava                           lava       1.8.0        <NA>
lazyeval                   lazyeval       0.2.2        <NA>
lda                             lda       1.5.2        <NA>
leafem                       leafem       0.2.3        <NA>
leaflet                     leaflet       2.2.2        <NA>
leaflet.providers leaflet.providers       2.0.0        <NA>
leafpop                     leafpop       0.1.0        <NA>
leafsync                   leafsync       0.1.0        <NA>
leaps                         leaps         3.2        <NA>
LearnBayes               LearnBayes      2.15.1        <NA>
lidR                           lidR       4.1.2        <NA>
lifecycle                 lifecycle       1.0.4        <NA>
listenv                     listenv       0.9.1        <NA>
lme4                           lme4    1.1-35.5        <NA>
lmodel2                     lmodel2       1.7-3        <NA>
lmtest                       lmtest      0.9-40        <NA>
loo                             loo       2.8.0        <NA>
lubridate                 lubridate       1.9.3        <NA>
lwgeom                       lwgeom      0.2-14        <NA>
magick                       magick       2.8.5        <NA>
magrittr                   magrittr       2.0.3        <NA>
mapdata                     mapdata       2.3.1        <NA>
mapdeck                     mapdeck       0.3.5        <NA>
maps                           maps       3.4.2        <NA>
maptools                   maptools       1.1-8        <NA>
mapview                     mapview      2.11.2        <NA>
markdown                   markdown        1.13        <NA>
MASS                           MASS  7.3-60.0.1 recommended
Matrix                       Matrix       1.6-5 recommended
MatrixModels           MatrixModels       0.5-3        <NA>
matrixStats             matrixStats       1.4.1        <NA>
mclogit                     mclogit       0.9.6        <NA>
memisc                       memisc   0.99.31.7        <NA>
memoise                     memoise       2.0.1        <NA>
merTools                   merTools       0.6.2        <NA>
methods                     methods       4.3.3        base
Metrics                     Metrics       0.1.4        <NA>
mgcv                           mgcv       1.9-1 recommended
microbenchmark       microbenchmark       1.5.0        <NA>
mime                           mime        0.12        <NA>
miniUI                       miniUI     0.1.1.1        <NA>
minqa                         minqa       1.2.8        <NA>
ModelMetrics           ModelMetrics     1.2.2.2        <NA>
modelr                       modelr      0.1.11        <NA>
modelsummary           modelsummary       2.2.0        <NA>
modeltools               modeltools      0.2-23        <NA>
mosaicCore               mosaicCore     0.9.4.0        <NA>
multcomp                   multcomp      1.4-26        <NA>
multcompView           multcompView      0.1-10        <NA>
munsell                     munsell       0.5.1        <NA>
mvtnorm                     mvtnorm       1.3-1        <NA>
nanoparquet             nanoparquet       0.3.1        <NA>
ncdf4                         ncdf4        1.23        <NA>
ncmeta                       ncmeta       0.4.0        <NA>
nleqslv                     nleqslv       3.3.5        <NA>
nlme                           nlme     3.1-165 recommended
nloptr                       nloptr       2.1.1        <NA>
NLP                             NLP       0.3-0        <NA>
nnet                           nnet      7.3-19 recommended
numDeriv                   numDeriv  2016.8-1.1        <NA>
openssl                     openssl       2.2.2        <NA>
ordinal                     ordinal 2023.12-4.1        <NA>
packrat                     packrat       0.9.2        <NA>
pander                       pander       0.6.5        <NA>
parallel                   parallel       4.3.3        base
parallelly               parallelly      1.38.0        <NA>
parameters               parameters      0.22.2        <NA>
patchwork                 patchwork       1.3.0        <NA>
pbdZMQ                       pbdZMQ      0.3-13        <NA>
pbkrtest                   pbkrtest       0.5.3        <NA>
performance             performance      0.12.3        <NA>
permute                     permute       0.9-7        <NA>
pillar                       pillar       1.9.0        <NA>
pkgbuild                   pkgbuild       1.4.4        <NA>
pkgconfig                 pkgconfig       2.0.3        <NA>
pkgdown                     pkgdown       2.1.1        <NA>
pkgload                     pkgload       1.4.0        <NA>
PKI                             PKI      0.1-14        <NA>
plogr                         plogr       0.2.0        <NA>
plotly                       plotly      4.10.4        <NA>
plotrix                     plotrix       3.8-4        <NA>
plyr                           plyr       1.8.9        <NA>
png                             png       0.1-8        <NA>
polyclip                   polyclip      1.10-7        <NA>
polynom                     polynom       1.4-1        <NA>
posterior                 posterior       1.6.0        <NA>
praise                       praise       1.0.0        <NA>
prettyunits             prettyunits       1.2.0        <NA>
pROC                           pROC      1.18.5        <NA>
processx                   processx       3.8.4        <NA>
prodlim                     prodlim  2024.06.25        <NA>
profvis                     profvis       0.4.0        <NA>
progress                   progress       1.2.3        <NA>
progressr                 progressr      0.14.0        <NA>
proj4                         proj4      1.0-14        <NA>
projpred                   projpred       2.8.0        <NA>
promises                   promises       1.3.0        <NA>
protolite                 protolite       2.3.0        <NA>
proxy                         proxy      0.4-27        <NA>
ps                               ps       1.7.7        <NA>
purrr                         purrr       1.0.2        <NA>
quadprog                   quadprog       1.5-8        <NA>
quanteda                   quanteda       3.3.1        <NA>
quantreg                   quantreg        5.98        <NA>
QuickJSR                   QuickJSR       1.3.1        <NA>
R.methodsS3             R.methodsS3       1.8.2        <NA>
R.oo                           R.oo      1.26.0        <NA>
R.utils                     R.utils      2.12.3        <NA>
R6                               R6       2.5.1        <NA>
ragg                           ragg       1.3.3        <NA>
RandomFields           RandomFields      3.3.14        <NA>
RandomFieldsUtils RandomFieldsUtils       1.2.5        <NA>
randomForest           randomForest     4.7-1.2        <NA>
ranger                       ranger      0.16.0        <NA>
rapidjsonr               rapidjsonr       1.2.0        <NA>
rappdirs                   rappdirs       0.3.3        <NA>
raster                       raster      3.6-26        <NA>
rcmdcheck                 rcmdcheck       1.4.0        <NA>
RColorBrewer           RColorBrewer       1.1-3        <NA>
Rcpp                           Rcpp      1.0.13        <NA>
RcppArmadillo         RcppArmadillo    14.0.2-1        <NA>
RcppEigen                 RcppEigen   0.3.4.0.2        <NA>
RcppParallel           RcppParallel       5.1.9        <NA>
RcppTOML                   RcppTOML       0.2.2        <NA>
RCurl                         RCurl   1.98-1.16        <NA>
readr                         readr       2.1.5        <NA>
readxl                       readxl       1.4.3        <NA>
recipes                     recipes       1.1.0        <NA>
rematch                     rematch       2.0.0        <NA>
rematch2                   rematch2       2.1.2        <NA>
remotes                     remotes       2.5.0        <NA>
renv                           renv       1.0.9        <NA>
repr                           repr       1.1.7        <NA>
reprex                       reprex       2.1.1        <NA>
reshape2                   reshape2       1.4.4        <NA>
reticulate               reticulate      1.39.0        <NA>
rgdal                         rgdal       1.6-7        <NA>
rgeos                         rgeos       0.6-4        <NA>
rgl                             rgl       1.3.1        <NA>
RgoogleMaps             RgoogleMaps       1.5.1        <NA>
rio                             rio       1.2.3        <NA>
rjson                         rjson      0.2.23        <NA>
rlang                         rlang       1.1.4        <NA>
rlas                           rlas       1.6.2        <NA>
RMariaDB                   RMariaDB       1.3.2        <NA>
rmarkdown                 rmarkdown        2.28        <NA>
RNetCDF                     RNetCDF       2.9-2        <NA>
roxygen2                   roxygen2       7.3.2        <NA>
rpart                         rpart      4.1.23 recommended
rpart.plot               rpart.plot       3.1.2        <NA>
RPostgres                 RPostgres       1.4.7        <NA>
rprojroot                 rprojroot       2.0.4        <NA>
rsconnect                 rsconnect       1.3.1        <NA>
RSQLite                     RSQLite       2.3.7        <NA>
rstan                         rstan      2.32.6        <NA>
rstantools               rstantools       2.4.0        <NA>
rstatix                     rstatix       0.7.2        <NA>
rstudioapi               rstudioapi      0.16.0        <NA>
rtweet                       rtweet       2.0.0        <NA>
rversions                 rversions       2.1.2        <NA>
rvest                         rvest       1.0.4        <NA>
s2                               s2       1.1.7        <NA>
sandwich                   sandwich       3.1-1        <NA>
sass                           sass       0.4.9        <NA>
satellite                 satellite       1.0.5        <NA>
scales                       scales       1.3.0        <NA>
scatterplot3d         scatterplot3d      0.3-44        <NA>
selectr                     selectr       0.4-2        <NA>
servr                         servr        0.31        <NA>
sessioninfo             sessioninfo       1.2.2        <NA>
sf                               sf      1.0-16        <NA>
sfheaders                 sfheaders       0.4.4        <NA>
sftime                       sftime       0.3.0        <NA>
shape                         shape     1.4.6.1        <NA>
shiny                         shiny       1.9.1        <NA>
shinyjs                     shinyjs       2.1.0        <NA>
shinystan                 shinystan       2.6.0        <NA>
shinythemes             shinythemes       1.2.0        <NA>
showtext                   showtext       0.9-7        <NA>
showtextdb               showtextdb         3.0        <NA>
sjlabelled               sjlabelled       1.2.0        <NA>
sjmisc                       sjmisc      2.8.10        <NA>
sjPlot                       sjPlot      2.8.16        <NA>
sjstats                     sjstats      0.19.0        <NA>
slam                           slam      0.1-53        <NA>
SnowballC                 SnowballC       0.7.1        <NA>
sourcetools             sourcetools     0.1.7-1        <NA>
sp                               sp       2.1-4        <NA>
spacetime                 spacetime       1.3-2        <NA>
SparseM                     SparseM      1.84-2        <NA>
spatial                     spatial      7.3-17 recommended
spatialreg               spatialreg       1.3-5        <NA>
spatstat                   spatstat       3.0-7        <NA>
spatstat.data         spatstat.data       3.1-2        <NA>
spatstat.explore   spatstat.explore       3.2-6        <NA>
spatstat.geom         spatstat.geom       3.2-9        <NA>
spatstat.linnet     spatstat.linnet       3.1-4        <NA>
spatstat.model       spatstat.model      3.2-10        <NA>
spatstat.random     spatstat.random       3.2-3        <NA>
spatstat.sparse     spatstat.sparse       3.1-0        <NA>
spatstat.utils       spatstat.utils       3.1-0        <NA>
spData                       spData       2.3.3        <NA>
spdep                         spdep       1.3-6        <NA>
splancs                     splancs     2.01-45        <NA>
splines                     splines       4.3.3        base
splus2R                     splus2R       1.3-5        <NA>
SQUAREM                     SQUAREM      2021.1        <NA>
StanHeaders             StanHeaders     2.32.10        <NA>
stargazer                 stargazer       5.2.3        <NA>
stars                         stars       0.6-6        <NA>
stats                         stats       4.3.3        base
stats4                       stats4       4.3.3        base
stm                             stm       1.3.7        <NA>
stopwords                 stopwords         2.3        <NA>
stringi                     stringi       1.8.4        <NA>
stringr                     stringr       1.5.1        <NA>
survival                   survival       3.7-0 recommended
svglite                     svglite       2.1.3        <NA>
sys                             sys       3.4.2        <NA>
sysfonts                   sysfonts       0.8.9        <NA>
systemfonts             systemfonts       1.1.0        <NA>
tables                       tables      0.9.31        <NA>
tcltk                         tcltk       4.3.3        base
tensor                       tensor         1.5        <NA>
tensorA                     tensorA    0.36.2.1        <NA>
terra                         terra      1.7-78        <NA>
testthat                   testthat     3.2.1.1        <NA>
textshaping             textshaping       0.4.0        <NA>
TH.data                     TH.data       1.1-2        <NA>
threejs                     threejs       0.3.3        <NA>
tibble                       tibble       3.2.1        <NA>
tidycensus               tidycensus       1.6.6        <NA>
tidygeocoder           tidygeocoder       1.0.5        <NA>
tidync                       tidync       0.4.0        <NA>
tidyr                         tidyr       1.3.1        <NA>
tidyselect               tidyselect       1.2.1        <NA>
tidytext                   tidytext       0.4.2        <NA>
tidyverse                 tidyverse       2.0.0        <NA>
tigris                       tigris         2.1        <NA>
timechange               timechange       0.3.0        <NA>
timeDate                   timeDate    4041.110        <NA>
tinytable                 tinytable       0.4.0        <NA>
tinytex                     tinytex        0.53        <NA>
tm                               tm      0.7-14        <NA>
tmap                           tmap       3.3-4        <NA>
tmaptools                 tmaptools       3.1-1        <NA>
TMB                             TMB      1.9.15        <NA>
tokenizers               tokenizers       0.3.0        <NA>
tools                         tools       4.3.3        base
topicmodels             topicmodels      0.2-16        <NA>
TraMineR                   TraMineR      2.2-10        <NA>
triebeard                 triebeard       0.4.1        <NA>
tufte                         tufte        0.13        <NA>
tzdb                           tzdb       0.4.0        <NA>
ucminf                       ucminf       1.2.2        <NA>
units                         units       0.8-5        <NA>
urlchecker               urlchecker       1.0.1        <NA>
urltools                   urltools       1.7.3        <NA>
usethis                     usethis       3.0.0        <NA>
utf8                           utf8       1.2.4        <NA>
utils                         utils       4.3.3        base
uuid                           uuid       1.2-1        <NA>
V8                               V8       5.0.1        <NA>
vctrs                         vctrs       0.6.5        <NA>
vegan                         vegan       2.6-8        <NA>
viridis                     viridis       0.6.5        <NA>
viridisLite             viridisLite       0.4.2        <NA>
vroom                         vroom       1.6.5        <NA>
waldo                         waldo       0.5.3        <NA>
webshot                     webshot       0.5.5        <NA>
wellknown                 wellknown       0.7.4        <NA>
whisker                     whisker       0.4.1        <NA>
widgetframe             widgetframe       0.3.1        <NA>
withr                         withr       3.0.1        <NA>
wk                               wk       0.9.3        <NA>
writexl                     writexl       1.5.0        <NA>
xfun                           xfun        0.47        <NA>
XML                             XML   3.99-0.17        <NA>
xml2                           xml2       1.3.6        <NA>
xopen                         xopen       1.0.1        <NA>
xtable                       xtable       1.8-4        <NA>
xts                             xts      0.14.0        <NA>
yaml                           yaml      2.3.10        <NA>
yulab.utils             yulab.utils       0.1.7        <NA>
zip                             zip       2.3.1        <NA>
zoo                             zoo      1.8-12        <NA>
